epoch,accuracy,loss,val_accuracy,val_loss
0,0.22321265935897827,2.125075578689575,0.4691678285598755,1.8149076700210571
1,0.3549158275127411,1.8080745935440063,0.5830159783363342,1.5221699476242065
2,0.4321630299091339,1.6165930032730103,0.6223968863487244,1.3385916948318481
3,0.4909949004650116,1.4743720293045044,0.6638846397399902,1.1957261562347412
4,0.5307631492614746,1.368656873703003,0.7078032493591309,1.0903221368789673
5,0.5629342794418335,1.2863986492156982,0.7274127006530762,1.0136663913726807
6,0.5813901424407959,1.2266602516174316,0.7530994415283203,0.9562568068504333
7,0.6051538586616516,1.1705464124679565,0.7680090665817261,0.9054022431373596
8,0.6194566488265991,1.131343126296997,0.7839721441268921,0.8644149899482727
9,0.6328883171081543,1.0952814817428589,0.789320170879364,0.8349210619926453
